epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,575.613,0.44984,0.28996,0.84751,0.99699,1,0.995,0.90923,0.46852,0.25495,0.83768,0.0006932,0.0006932,0.0006932
68,583.809,0.43455,0.2812,0.85857,0.99749,1,0.995,0.9069,0.46722,0.23596,0.83674,0.0006734,0.0006734,0.0006734
69,592.042,0.43827,0.28498,0.84548,0.99706,1,0.995,0.90458,0.45336,0.26358,0.8378,0.0006536,0.0006536,0.0006536
70,600.108,0.42876,0.27768,0.83924,1,0.99763,0.995,0.9057,0.46032,0.24996,0.83806,0.0006338,0.0006338,0.0006338
71,608.272,0.43467,0.28108,0.84634,0.94598,0.992,0.99298,0.89699,0.47756,0.29219,0.84081,0.000614,0.000614,0.000614
72,616.447,0.4312,0.27516,0.83691,0.98483,1,0.995,0.90724,0.46333,0.25137,0.8393,0.0005942,0.0005942,0.0005942
73,624.675,0.43136,0.27533,0.84861,1,0.99845,0.995,0.91162,0.4731,0.24814,0.83742,0.0005744,0.0005744,0.0005744
74,632.82,0.43587,0.27989,0.84455,0.99449,0.992,0.995,0.9102,0.46592,0.2521,0.83535,0.0005546,0.0005546,0.0005546
75,640.985,0.43212,0.27283,0.84187,0.99623,1,0.995,0.90947,0.47679,0.25454,0.83442,0.0005348,0.0005348,0.0005348
76,649.123,0.42077,0.26503,0.83734,0.99958,1,0.995,0.90891,0.48988,0.23821,0.83709,0.000515,0.000515,0.000515
77,657.263,0.42104,0.27313,0.83949,1,0.99874,0.995,0.90331,0.47372,0.2429,0.83423,0.0004952,0.0004952,0.0004952
78,665.376,0.42433,0.27264,0.8484,0.99236,1,0.995,0.91452,0.47007,0.247,0.83547,0.0004754,0.0004754,0.0004754
79,673.46,0.40804,0.26748,0.8354,0.99358,1,0.995,0.91145,0.46132,0.24076,0.829,0.0004556,0.0004556,0.0004556
80,681.586,0.41226,0.25745,0.83759,0.99594,1,0.995,0.91249,0.45829,0.24574,0.82969,0.0004358,0.0004358,0.0004358
81,689.744,0.41207,0.25796,0.83894,0.99603,1,0.995,0.91295,0.44884,0.23893,0.83045,0.000416,0.000416,0.000416
82,697.838,0.40213,0.26317,0.8388,0.99795,1,0.995,0.9068,0.45613,0.22854,0.83015,0.0003962,0.0003962,0.0003962
83,705.946,0.4142,0.2578,0.83516,1,0.99849,0.995,0.9018,0.47907,0.24517,0.83819,0.0003764,0.0003764,0.0003764
84,714.027,0.40121,0.24799,0.83772,0.99202,0.99429,0.995,0.90014,0.49606,0.25087,0.84225,0.0003566,0.0003566,0.0003566
85,722.176,0.3969,0.24729,0.83394,0.99659,1,0.995,0.90978,0.46875,0.24294,0.8357,0.0003368,0.0003368,0.0003368
86,730.294,0.39669,0.24976,0.84001,0.99173,1,0.995,0.91546,0.449,0.23697,0.8297,0.000317,0.000317,0.000317
87,738.432,0.39603,0.24557,0.83899,0.99189,1,0.995,0.91829,0.45662,0.23309,0.83001,0.0002972,0.0002972,0.0002972
88,746.576,0.3964,0.24494,0.83168,0.99374,1,0.995,0.91735,0.43903,0.21948,0.82452,0.0002774,0.0002774,0.0002774
89,754.626,0.3902,0.24108,0.83163,0.99168,1,0.995,0.90341,0.46418,0.23735,0.83303,0.0002576,0.0002576,0.0002576
90,762.777,0.41239,0.2534,0.84453,0.99066,1,0.995,0.91648,0.45042,0.23977,0.82662,0.0002378,0.0002378,0.0002378
91,770.674,0.38824,0.27713,0.82416,0.99156,1,0.995,0.91271,0.45238,0.24324,0.83162,0.000218,0.000218,0.000218
92,778.461,0.37327,0.24408,0.81702,0.99145,0.992,0.99492,0.90724,0.46508,0.25038,0.83321,0.0001982,0.0001982,0.0001982
93,786.264,0.36644,0.2524,0.82221,0.99106,0.992,0.99492,0.91804,0.45643,0.23163,0.83278,0.0001784,0.0001784,0.0001784
94,794.087,0.37608,0.24361,0.82236,0.99083,0.992,0.99492,0.91312,0.46464,0.23907,0.8358,0.0001586,0.0001586,0.0001586
95,801.897,0.36993,0.23601,0.82002,0.99605,0.992,0.995,0.91452,0.45675,0.24499,0.83382,0.0001388,0.0001388,0.0001388
96,809.738,0.36293,0.2275,0.81682,0.99089,0.992,0.995,0.9037,0.45883,0.23427,0.83296,0.000119,0.000119,0.000119
97,817.539,0.35799,0.22313,0.81383,0.99164,0.992,0.995,0.90682,0.46438,0.22891,0.83256,9.92e-05,9.92e-05,9.92e-05
98,825.324,0.3569,0.23134,0.81568,0.9918,0.992,0.995,0.9125,0.45724,0.22613,0.83061,7.94e-05,7.94e-05,7.94e-05
99,833.086,0.35804,0.22253,0.80724,0.9912,0.992,0.995,0.91815,0.45037,0.22365,0.82956,5.96e-05,5.96e-05,5.96e-05
100,841.033,0.3549,0.216,0.81766,0.99088,0.992,0.995,0.9147,0.45329,0.22222,0.82943,3.98e-05,3.98e-05,3.98e-05
